,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
13,13,0.9709305433721956,2022-03-30 04:18:19.732154,2022-03-30 04:22:17.320359,0 days 00:03:57.588205,0.7701868181010256,2.5527986489988153,lossguide,0.15098275779685244,9.012431785149989,11,17,1.7112865787491418,3.81281663695115,4.795052856044601,0.7841527305471483,COMPLETE
14,14,0.9702009189064292,2022-03-30 04:22:17.322318,2022-03-30 04:25:43.208396,0 days 00:03:25.886078,0.8645508683366367,1.184656949562709,depthwise,0.24682357119242498,8.489593386495073,10,34,1.5179433826471125,4.6204855720352365,8.952758945474741,0.9151359448708739,COMPLETE
15,15,0.9713918459945031,2022-03-30 04:25:43.210697,2022-03-30 04:28:52.344156,0 days 00:03:09.133459,0.8253458869882798,0.7162667247088119,lossguide,0.14856971908411096,6.9679549628968065,8,13,5.0050359643814275,5.175123979075678,5.151049027017962,0.676302644635694,COMPLETE
16,16,0.9649661546922083,2022-03-30 04:28:52.346034,2022-03-30 04:30:35.815111,0 days 00:01:43.469077,0.4708916879851225,0.16401673056630017,lossguide,0.16827786860062066,8.090050475813138,5,40,5.4647631633994,4.80647814634637,0.897059950445243,0.6728270102583429,COMPLETE
17,17,0.9688433114384147,2022-03-30 04:30:35.821507,2022-03-30 04:35:03.591241,0 days 00:04:27.769734,0.9022143277352234,1.9161469727444673,lossguide,0.30089922583871126,6.041409275296748,9,2,6.5272789309644,5.705210244588296,13.332967335493585,0.5939488219892675,COMPLETE
18,18,0.962798171723619,2022-03-30 04:35:03.593092,2022-03-30 04:36:22.713685,0 days 00:01:19.120593,0.6564079292378048,0.2799049409868326,lossguide,0.18019743581059602,4.571985557333612,3,8,2.3594182310087732,6.3470876122513875,3.7039624098197588,0.37515393459620394,COMPLETE
19,19,0.9643476248614156,2022-03-30 04:36:22.715606,2022-03-30 04:39:23.361485,0 days 00:03:00.645879,0.8333470002033293,3.5518770911717623,lossguide,0.5640052214467449,8.887217372513888,6,19,8.10168915495144,2.9105212428816363,1.3453212042230092,0.9786028781936145,COMPLETE
20,20,0.9715280357729145,2022-03-30 04:39:23.363401,2022-03-30 04:42:33.010904,0 days 00:03:09.647503,0.5528392163261782,0.8490146506373906,depthwise,0.1101462258886773,4.6735756784655385,9,6,0.3564286266150608,2.9430628454597776,2.87999119177303,0.6227659758213564,COMPLETE
21,21,0.9701028560279807,2022-03-30 04:42:33.012909,2022-03-30 04:45:47.056267,0 days 00:03:14.043358,0.5673370008917673,0.11773662702928234,depthwise,0.07504702564176999,2.529016300549754,10,25,1.5672011727663646,3.805196698690761,1.3259242391703245,0.8046560740552141,COMPLETE
22,22,0.9690683896246712,2022-03-30 04:45:47.058400,2022-03-30 04:48:16.515772,0 days 00:02:29.457372,0.4609093423060089,1.046840003919372,lossguide,0.2535466363266538,7.512865648348145,7,3,0.013581360331373582,3.0723286328026598,1.1032784972473522,0.8637234690498171,COMPLETE
23,23,0.9710400586151818,2022-03-30 04:48:16.517708,2022-03-30 04:50:52.847494,0 days 00:02:36.329786,0.4801605867973937,2.864734261094377,depthwise,0.05867732372828347,4.89850883674245,7,3,2.9098812288967353,0.5517620747940932,7.336810684611151,0.4736321985034766,COMPLETE
24,24,0.9680919949070033,2022-03-30 04:50:52.849235,2022-03-30 04:53:40.156124,0 days 00:02:47.306889,0.7351034523758504,1.797063630788779,lossguide,0.020619747065580757,8.144377827079044,9,11,5.306404166380404,6.057869020794157,4.476911189861736,0.34733398594596165,COMPLETE
25,25,0.9679932028617109,2022-03-30 04:53:40.158232,2022-03-30 04:56:30.667640,0 days 00:02:50.509408,0.5352591894406973,0.6385362765405931,lossguide,0.31066493111070903,6.118311122683933,13,4,0.798973736946837,4.703691689513947,1.199942607693425,0.53416096706695,COMPLETE
26,26,0.9646801271828552,2022-03-30 04:56:30.669507,2022-03-30 04:58:33.851658,0 days 00:02:03.182151,0.5004518695667051,0.6725028545750866,depthwise,0.4252878075825898,4.593379664514628,7,10,0.603980470772185,2.7521969567254283,2.5912655704608496,0.5340326008261074,COMPLETE
27,27,0.9537843561748073,2022-03-30 04:58:33.853595,2022-03-30 04:59:50.540236,0 days 00:01:16.686641,0.7963730964107965,3.184591452126045,depthwise,0.11208294546309569,8.011035488394482,2,29,4.2345186166245945,8.115811905817923,10.970772801913,0.7131528848178821,COMPLETE
28,28,0.9711974475630009,2022-03-30 04:59:50.542299,2022-03-30 05:02:38.039207,0 days 00:02:47.496908,0.6500756638634095,0.1595774517072056,lossguide,0.16549094101746026,5.4655456137565155,6,10,2.3937935965350094,5.044500931827787,9.57837990644622,0.7346627562303021,COMPLETE
29,29,0.964886791049974,2022-03-30 05:02:38.041112,2022-03-30 05:05:17.775812,0 days 00:02:39.734700,0.8896943760435028,1.816433737896247,lossguide,0.37997555768178526,7.646122220820521,6,9,3.4414227800329407,0.5258972205160592,9.6485850042126,0.46619447349102194,COMPLETE
30,30,0.9679095932390066,2022-03-30 05:05:17.777717,2022-03-30 05:06:44.843755,0 days 00:01:27.066038,0.42396824104763253,0.7029359753381091,depthwise,0.15498597727901325,6.88557304737845,9,12,0.37258772199151213,5.176334563046909,6.716828224678888,0.36209474895649796,COMPLETE
31,31,0.9584740481554261,2022-03-30 05:06:44.845619,2022-03-30 05:10:09.961867,0 days 00:03:25.116248,0.665297104440063,3.360529124952125,lossguide,0.009742939986251087,5.062475361307682,6,2,1.2073694335053287,6.079532450223039,6.3973174230697225,0.828981750246906,COMPLETE
32,32,0.9683356167872071,2022-03-30 05:10:09.963768,2022-03-30 05:13:27.621942,0 days 00:03:17.658174,0.6545755866371206,0.7899383270625174,lossguide,0.018195162426465947,9.047129075572935,7,9,0.7646745434601839,2.199062111554537,8.84966766203399,0.6323167700118711,COMPLETE
33,33,0.9712724403134444,2022-03-30 05:13:27.623873,2022-03-30 05:15:23.395981,0 days 00:01:55.772108,0.3908799937788089,0.41380859690118765,lossguide,0.08983375249215428,5.581708113055721,8,21,5.055098395435033,5.66970276740956,10.1034527369995,0.6533597286675674,COMPLETE
34,34,0.9709197635801322,2022-03-30 05:15:23.397938,2022-03-30 05:17:13.806778,0 days 00:01:50.408840,0.38835606930790034,0.7726245385087456,lossguide,0.12305797534048465,5.826013650209353,7,31,5.344719202998595,9.111442554053074,14.005761732016252,0.783224619391659,COMPLETE
35,35,0.9419243094088582,2022-03-30 05:17:13.808740,2022-03-30 05:21:21.176739,0 days 00:04:07.367999,0.5145948959096549,0.8258069463897469,lossguide,0.0010901644449836378,6.195998863574921,9,17,8.14744594949674,6.097200839681782,7.75411545055852,0.7581069247009067,COMPLETE
36,36,0.9683615189799643,2022-03-30 05:21:21.178750,2022-03-30 05:23:37.195573,0 days 00:02:16.016823,0.21522789904688533,2.358625017742198,lossguide,0.24504464964084452,6.37700398400559,11,12,3.5680977394077895,2.376259822463924,10.55416594542467,0.7841142329487372,COMPLETE
37,37,0.9410519484914328,2022-03-30 05:23:37.201837,2022-03-30 05:27:13.327028,0 days 00:03:36.125191,0.4887275498684262,0.03697408584036582,lossguide,0.0014591082102858172,7.3767294151220275,8,44,3.894978858163555,4.637954128334493,13.778101745143104,0.6551418430290115,COMPLETE
38,38,0.9663327283749928,2022-03-30 05:27:13.329449,2022-03-30 05:28:58.107198,0 days 00:01:44.777749,0.28146130509560535,2.198967388695453,depthwise,0.025764626682360917,3.6780855999264226,7,31,8.242207937217392,4.535622060594035,10.441147208787376,0.552724225942099,COMPLETE
39,39,0.9655108683266037,2022-03-30 05:28:58.113899,2022-03-30 05:31:50.771767,0 days 00:02:52.657868,0.9355430344917872,0.14419650484132895,lossguide,0.357980036803467,9.193696917493455,9,41,7.224632049107946,4.373689921604644,3.170799881725829,0.6164705313686245,COMPLETE
