[32m[I 2022-03-30 03:46:11,801][0m A new study created in memory with name: no-name-2e0162db-ca8b-4411-9a88-0839e4128bad[0m
[32m[I 2022-03-30 05:15:23,396][0m Trial 33 finished with value: 0.9712724403134444 and parameters: {'reg_alpha': 5.055098395435033, 'reg_lambda': 5.66970276740956, 'subsample': 0.6533597286675674, 'colsample_bytree': 0.3908799937788089, 'max_depth': 8, 'min_child_weight': 21, 'learning_rate': 0.08983375249215428, 'gamma': 0.41380859690118765, 'grow_policy': 'lossguide', 'max_delta_step': 5.581708113055721, 'scale_pos_weight': 10.1034527369995}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:17:13,807][0m Trial 34 finished with value: 0.9709197635801322 and parameters: {'reg_alpha': 5.344719202998595, 'reg_lambda': 9.111442554053074, 'subsample': 0.783224619391659, 'colsample_bytree': 0.38835606930790034, 'max_depth': 7, 'min_child_weight': 31, 'learning_rate': 0.12305797534048465, 'gamma': 0.7726245385087456, 'grow_policy': 'lossguide', 'max_delta_step': 5.826013650209353, 'scale_pos_weight': 14.005761732016252}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:21:21,177][0m Trial 35 finished with value: 0.9419243094088582 and parameters: {'reg_alpha': 8.14744594949674, 'reg_lambda': 6.097200839681782, 'subsample': 0.7581069247009067, 'colsample_bytree': 0.5145948959096549, 'max_depth': 9, 'min_child_weight': 17, 'learning_rate': 0.0010901644449836378, 'gamma': 0.8258069463897469, 'grow_policy': 'lossguide', 'max_delta_step': 6.195998863574921, 'scale_pos_weight': 7.75411545055852}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:23:37,197][0m Trial 36 finished with value: 0.9683615189799643 and parameters: {'reg_alpha': 3.5680977394077895, 'reg_lambda': 2.376259822463924, 'subsample': 0.7841142329487372, 'colsample_bytree': 0.21522789904688533, 'max_depth': 11, 'min_child_weight': 12, 'learning_rate': 0.24504464964084452, 'gamma': 2.358625017742198, 'grow_policy': 'lossguide', 'max_delta_step': 6.37700398400559, 'scale_pos_weight': 10.55416594542467}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:27:13,327][0m Trial 37 finished with value: 0.9410519484914328 and parameters: {'reg_alpha': 3.894978858163555, 'reg_lambda': 4.637954128334493, 'subsample': 0.6551418430290115, 'colsample_bytree': 0.4887275498684262, 'max_depth': 8, 'min_child_weight': 44, 'learning_rate': 0.0014591082102858172, 'gamma': 0.03697408584036582, 'grow_policy': 'lossguide', 'max_delta_step': 7.3767294151220275, 'scale_pos_weight': 13.778101745143104}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:28:58,109][0m Trial 38 finished with value: 0.9663327283749928 and parameters: {'reg_alpha': 8.242207937217392, 'reg_lambda': 4.535622060594035, 'subsample': 0.552724225942099, 'colsample_bytree': 0.28146130509560535, 'max_depth': 7, 'min_child_weight': 31, 'learning_rate': 0.025764626682360917, 'gamma': 2.198967388695453, 'grow_policy': 'depthwise', 'max_delta_step': 3.6780855999264226, 'scale_pos_weight': 10.441147208787376}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:31:50,772][0m Trial 39 finished with value: 0.9655108683266037 and parameters: {'reg_alpha': 7.224632049107946, 'reg_lambda': 4.373689921604644, 'subsample': 0.6164705313686245, 'colsample_bytree': 0.9355430344917872, 'max_depth': 9, 'min_child_weight': 41, 'learning_rate': 0.357980036803467, 'gamma': 0.14419650484132895, 'grow_policy': 'lossguide', 'max_delta_step': 9.193696917493455, 'scale_pos_weight': 3.170799881725829}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:35:11,049][0m Trial 40 finished with value: 0.9715129102172376 and parameters: {'reg_alpha': 0.8148501260063448, 'reg_lambda': 2.3924114650601047, 'subsample': 0.5909320108914692, 'colsample_bytree': 0.8018426053780919, 'max_depth': 8, 'min_child_weight': 3, 'learning_rate': 0.16213208004479207, 'gamma': 0.8438532337351449, 'grow_policy': 'depthwise', 'max_delta_step': 5.847985947118822, 'scale_pos_weight': 3.442900100797708}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:37:27,054][0m Trial 41 finished with value: 0.9002981703122424 and parameters: {'reg_alpha': 2.18173737412349, 'reg_lambda': 3.686398890458074, 'subsample': 0.6052694337008393, 'colsample_bytree': 0.7348475408441613, 'max_depth': 6, 'min_child_weight': 2, 'learning_rate': 0.09428171910140275, 'gamma': 4.090875628696463, 'grow_policy': 'depthwise', 'max_delta_step': 4.894389720373953, 'scale_pos_weight': 0.028394109049570293}. Best is trial 12 with value: 0.9721097038757875.[0m
[32m[I 2022-03-30 05:39:43,051][0m Trial 42 finished with value: 0.969710000713377 and parameters: {'reg_alpha': 0.07491706654934621, 'reg_lambda': 2.865348875430832, 'subsample': 0.6030718255033319, 'colsample_bytree': 0.36184435311974456, 'max_depth': 9, 'min_child_weight': 9, 'learning_rate': 0.017508681981673754, 'gamma': 3.3641772671494885, 'grow_policy': 'depthwise', 'max_delta_step': 3.374207870848589, 'scale_pos_weight': 5.2970991907144835}. Best is trial 12 with value: 0.9721097038757875.[0m
